type_Condo,type_House,type_Multi-family home,type_Townhouse,locality_Brooklyn,locality_Manhattan,locality_Queens,locality_Staten Island,zipcode,beds,bath,propertysqft,distance_to_center,distance_to_wall_street,price
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11235.0,3.0,1.0,1200.0,19.546353851945646,14.49989156626613,300000
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11217.0,2.0,1.0,1786.0,8.78092207058998,3.843822419075011,1350000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10471.0,1.0,1.0,750.0,17.551700756965207,23.744374447468942,165000
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10024.0,2.0,2.0,1440.0,2.9765969189482777,9.17505799475562,1195000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10463.0,2.0,1.0,905.0,15.514473622474954,21.69467318649957,295000
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11372.0,1.0,1.0,1440.0,9.41237493769804,12.67860291980964,230000
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11105.0,11.0,6.0,5088.0,7.510021477387236,11.843307406377312,2599000
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10035.0,9.0,3.0,3000.0,6.536211667267173,12.59099351659122,1600000
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10037.0,3.0,1.0,1786.0,7.4171686086210515,13.52917855972579,295000
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10016.0,2.0,2.0,1041.0,1.753851903811487,5.4242553268234985,1399999
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10457.0,9.0,7.0,3316.0,12.803806484267431,18.805072169542644,950000
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10022.0,3.0,1.0,445.0,0.929317768857685,6.80019983793527,60000
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11235.0,3.0,2.0,1000.0,18.8440912114224,13.555289442855436,799000
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11372.0,2.0,2.0,1075.0,8.63171763653571,11.581070884623498,595000
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11356.0,4.0,2.0,1480.0,11.96491814734177,16.27935616428883,928888
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11230.0,2.0,2.0,937.0,14.306111726555407,8.963897775166453,849000
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10463.0,5.0,4.0,3075.0,15.615201656194689,21.803969712651764,1995000
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11373.0,7.0,4.0,2800.0,9.971671638044375,12.480368345703152,1350000
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10021.0,6.0,8.0,6000.0,2.3636877218311763,8.158613901024946,3499000
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10312.0,1.0,2.0,1059.0,27.812191404707235,22.027573542224857,334999
